課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
6-2,37.     ,柱子,zhùzi ,N,"pillar, column","cột trụ, trụ cột","เสา, คอลัมน์",တိုင်၊ တိုင်,柱、柱,"기둥, 기둥","pilar, columna","pilar, kolom",4
6-2,38.     ,碰,pèng,V,"to hit, bump into","va vào, đâm vào",ที่จะตีชนเข้า,တိုက်ရန်၊ ဆောင့်ကန်သည်။,ぶつかる、ぶつかる,"부딪치다, 부딪히다","golpear, chocar con","memukul, menabrak",4
6-2,39.     ,形成,xíngchéng ,V,to form,hình thành,เพื่อสร้าง,ဖွဲ့စည်းရန်,形成する,형성하다,formar,membentuk,4
6-2,40.     ,三角形,sānjiǎoxíng,N,triangle,hình tam giác,สามเหลี่ยม,တြိဂံ,三角形,삼각형,triángulo,segi tiga,4
6-2,41.     ,保持,bǎochí ,V,"to remain, stay","còn lại, ở lại",ที่จะอยู่อยู่,ကျန်နေဖို့၊,残る、残る,"머물다, 머물다","permanecer, quedarse","tetap, tinggal",4
6-2,42.     ,平靜,píngjìng ,Vs,calm,bình tĩnh,เงียบสงบ,အေးဆေး,落ち着いた,침착한,calma,tenang,4
6-2,43.     ,指示,zhǐshì ,N,"instructions, commands","hướng dẫn, mệnh lệnh",คำแนะนำคำสั่ง,ညွှန်ကြားချက်များ၊ အမိန့်များ,指示、命令,"지시, 명령","instrucciones, comandos","instruksi, perintah",4
6-2,44.     ,救援,jiùyuán ,Vi,to rescue,cứu hộ,เพื่อช่วยเหลือ,ကယ်တင်ရန်,救助する,구출하다,rescatar,menyelamatkan,4
6-2,45.     ,行動,xíngdòng ,N,"activity, action, operations","hoạt động, hành động",กิจกรรม การกระทำ การดำเนินงาน,လှုပ်ရှားမှု၊ လုပ်ဆောင်ချက်၊ လုပ်ဆောင်ချက်,アクティビティ、アクション、操作,"활동, 행동, 운영","actividad, acción, operaciones","aktivitas, tindakan, operasi",4
6-2,46,掉下來,diàoxiàlái,,"to fall down, to drop","rơi xuống, rớt xuống","ล้มลง, หล่น",ပြုတ်ကျဖို့၊ ပြုတ်ကျဖို့,落ちる、落ちる,"쓰러지다, 떨어지다","caer, caer","jatuh, jatuh",4
6-2,47,倒下來,dǎoxiàlái,,"to fall over, to collapse","đổ sập, ngã đổ","ล้มลง, พังทลาย",ပြုတ်ကျဖို့၊ ပြိုကျဖို့၊,倒れる、倒れる,"넘어지다, 쓰러지다","caerse, colapsar","terjatuh, roboh",4
6-2,48,救災人員,jiùzāi rényuán ,,rescue personnel,nhân viên cứu hộ,เจ้าหน้าที่กู้ภัย,ကယ်ဆယ်ရေးဝန်ထမ်း,救助隊員,구조대원,personal de rescate,personel penyelamat,4
7-1,1.        ,博文,Bówén,,a senior in college,sinh viên năm cuối đại học,ผู้อาวุโสในวิทยาลัย,ကောလိပ်မှာ အကြီးတန်းတစ်ယောက်,大学の先輩,대학 선배,un estudiante de último año en la universidad,seorang senior di perguruan tinggi,4
7-1,2.        ,玉珍,Yùzhēn,,a sophomore in college,sinh viên năm hai đại học,นักเรียนปีที่สองในวิทยาลัย,ကောလိပ်မှာ ဒုတိယနှစ်,大学二年生,대학 2학년,un estudiante de segundo año en la universidad,seorang mahasiswa tahun kedua di perguruan tinggi,4
7-1,3.        ,學妹,xuémèi,N,female lower classmate (see culture notes),em gái khóa dưới,เพื่อนร่วมชั้นชั้นล่างหญิง (ดูบันทึกวัฒนธรรม),အောက်တန်းစား အမျိုးသမီး (ယဉ်ကျေးမှုမှတ်စုများကိုကြည့်ပါ),女子の後輩（カルチャーノートを参照）,여자 하급생 (문화 노트 참조),compañera de clase inferior (ver notas culturales),teman sekelas perempuan yang lebih rendah (lihat catatan budaya),4
7-1,4.        ,學弟,xuédì,N,male lower classmate,em trai khóa dưới,เพื่อนร่วมชั้นต่ำกว่าชาย,အမျိုးသား အောက်တန်းစား,男子の後輩,남자 하급생,compañero de clase inferior,teman sekelas laki-laki yang lebih rendah,4
7-1,5.        ,彈,tán,V,"to play (piano, guiter)","chơi (đàn piano, guitar)",เล่น (เปียโน กีต้าร์),(စန္ဒယား၊ ဂစ်တာတီးရန်),演奏する（ピアノ、ギター）,"연주하다 (피아노, 기타)","tocar (piano, guitarra)","bermain (piano, gitaris)",4
7-1,6.        ,吉他,jítā,N,guitar,ghi-ta,กีตาร์,ဂစ်တာ,ギター,기타,guitarra,gitar,4
7-1,7.        ,交,jiāo,V,"to submit, hand in",nộp,เพื่อส่งส่ง,တင်ပြရန်၊ လက်ဆွဲပါ။,提出する、提出する,"제출하다, 제출하다","presentar, entregar","menyerahkan, serahkan",4
7-1,8.        ,家教,jiājiào,N,"coach, tutor","huấn luyện viên, gia sư","โค้ช, ครูสอนพิเศษ",နည်းပြ၊ နည်းပြဆရာ,コーチ、家庭教師,"코치, 가정교사","entrenador, tutor","pelatih, tutor",4
7-1,9.        ,學長,xuézhǎng,N,male upper classmate,anh trai khóa trên,เพื่อนร่วมชั้นชั้นสูงชาย,အထက်တန်းစား ယောက်ျား,男子上級生,남자 상급생,compañero de clase superior,teman sekelas laki-laki,4
7-1,10.     ,還,hái,Adv,to one’s surprise,thật bất ngờ,สร้างความประหลาดใจให้กับใครคนหนึ่ง,အံ့သြဖို့ကောင်းတယ်။,驚いたことに,놀랍게도,sorpresa de uno,mengejutkan seseorang,4
7-1,11.     ,進度,jìndù,N,progress,tiến bộ,ความคืบหน้า,တိုးတက်မှု,進捗,진전,progreso,kemajuan,4
7-1,12.     ,落後,luòhòu,Vp,"to fall behind, lag","tụt hậu, chậm lại",ล้าหลังล้าหลัง,နောက်ကျကျန်နေခြင်း၊,遅れをとる、遅れる,"뒤처지다, 뒤쳐지다","quedarse atrás, retrasarse","tertinggal, tertinggal",4
7-1,13.     ,完成,wánchéng,Vpt,to complete,hoàn thành,เพื่อให้เสร็จสมบูรณ์,ပြီးမြောက်ရန်,完了する,완료하다,completar,menyelesaikan,4
7-1,14.     ,一連,yìlián,Adv,"in a row, in succession","liên tiếp, liên tục",ติดต่อกัน,ဆက်တိုက်၊,続けて、連続して,"연속해서, 연속해서","en una fila, en sucesión","berturut-turut, berturut-turut",4
7-1,15.     ,約會,yuēhuì,V-sep,to make a date/appointment,hẹn hò,เพื่อนัดหมาย/นัดหมาย,ရက်ချိန်း/ချိန်းဆိုရန်,デート/約束をする,날짜를 정하다/약속을 하다,concertar una cita/cita,membuat tanggal/janji,4
7-1,16.     ,一生,yìshēng,N,(for) one’s life,(cả) đời,(สำหรับ) ชีวิตของเรา,(ဘဝအတွက်),人生（のために）,(때문에) 인생을 위해,(para) la vida,(untuk) hidup seseorang,4
7-1,17.     ,時光,shíguāng,N,time,thời gian,เวลา (we la),အချိန် (a chain),時間 (jikan),시간 (sigan),tiempo,waktu,4
7-1,18.     ,倒流,dàoliú,Vp,to flow backward,chảy ngược,ที่จะไหลย้อนกลับ,နောက်ပြန်စီးဆင်းရန်,逆流する,뒤로 흐르다,fluir hacia atrás,mengalir mundur,4
7-1,19.     ,加強,jiāqiáng,V,to strengthen,"củng cố, tăng cường",เพื่อเสริมสร้างความเข้มแข็ง,ခိုင်မာစေရန်,強化する,강화하다,fortalecer,memperkuat,4
7-1,20.     ,至少,zhìshǎo,Adv,at least,ít nhất,อย่างน้อย,အနည်းဆုံး,少なくとも,적어도,al menos,setidaknya,4
7-1,21.     ,訓練,xùnliàn,N/V,training; to train,đào tạo; huấn luyện,การฝึกอบรม; เพื่อฝึกฝน,လေ့ကျင့်ရေး; လေ့ကျင့်ရန်,トレーニング;訓練する,훈련; 훈련하다,capacitación; entrenar,pelatihan; melatih,4
7-1,22.     ,外國,wàiguó,N,"other countries, abroad, foreign",nước ngoài,"ประเทศอื่นๆ, ต่างประเทศ, ต่างประเทศ",တခြားနိုင်ငံ၊ပြည်ပ၊ပြည်ပ,他国、外国、外国,"다른 나라, 해외, 외국","otros países, en el extranjero, extranjero","negara lain, luar negeri, asing",4
7-1,23.     ,爭取,zhēngqǔ,V,"to vie for, compete for","tranh giành, cạnh tranh",ที่จะแย่งชิงแข่งขันเพื่อ,ယှဉ်ပြိုင်ရန်၊ ယှဉ်ပြိုင်ရန်,争う、競う,"경쟁하다, 경쟁하다","competir por, competir por","bersaing, bersaing untuk",4
7-1,24.     ,實習,shíxí,Vi,to intern,thực tập,เพื่อฝึกงาน,အလုပ်သင်လုပ်ဖို့,インターンする,인턴에게,hacer prácticas,magang,4
7-1,25.     ,二分之一,èrfēn zhīyī,,"one half, 1/2","một phần hai, 1/2","ครึ่งหนึ่ง, 1/2","တစ်ဝက်, 1/2",2分の1、半分,"2분의 1, 절반","un medio, 1/2","setengah, 1/2",4
7-1,26.     ,一下…一下…,yíxià…yíxià…,,"measure phrase, describing fast-changing alternating scences of two activities","cảnh quay cắt nhanh, xen kẽ nhanh",วลีวัด อธิบายฉากที่เปลี่ยนแปลงอย่างรวดเร็วของสองกิจกรรม,လှုပ်ရှားမှုနှစ်ခု၏ လျင်မြန်စွာပြောင်းလဲနေသော တလှည့်စီ ရှုခင်းများကို ဖော်ပြသည့် စကားစုကို တိုင်းတာပါ။,2 つのアクティビティの急速に変化する交互のシーンを説明する小節フレーズ,두 가지 활동의 빠르게 변화하는 교대 장면을 설명하는 측정 문구,Frase métrica que describe escenas alternas que cambian rápidamente de dos actividades,"frase ukur, menggambarkan adegan bergantian yang berubah dengan cepat dari dua aktivitas",4
7-1,27.     ,到時候,dào shíhòu,,"at that time, when the time comes","lúc đó, khi thời điểm đến",เมื่อเวลานั้นมาถึง,ထိုအချိန်တွင်၊,その時、その時が来たら,"그때, 때가 되면","en ese momento, cuando llegue el momento","pada saat itu, ketika saatnya tiba",4
7-1,28.     ,談戀愛,tán liànài,,"to be in love, go steady (said of dating couples)","yêu đương, hẹn hò (nói về các cặp đôi)",มีความรักมั่นคง (กล่าวถึงคู่รัก),ချစ်တတ်ဖို့၊ တည်ငြိမ်သွားပါ (ချိန်းတွေ့တဲ့ စုံတွဲတွေရဲ့ ပြောကြားချက်),恋をするためには、着実に進んでください（カップルのデートについて言われました）,"사랑에 빠지다, 꾸준히 가다 (데이트하는 커플의 말)","estar enamorado, andar firme (dicho de las parejas de novios)","jatuh cinta, mantap (kata tentang pasangan yang sedang berkencan)",4
7-1,29.     ,低空飛過,dīkōng fēiguò,,"barely managed to pass (a test, course)","vừa đủ điểm qua (một bài kiểm tra, khóa học)","แทบจะไม่สามารถผ่านได้ (แบบทดสอบ, หลักสูตร)",(စာမေးပွဲ၊ သင်တန်း) အောင်နိုင်သလောက်,かろうじて合格した（テスト、コース）,"간신히 합격했습니다 (시험, 과정)","apenas logré aprobar (un examen, un curso)","hampir tidak berhasil lulus (ujian, kursus)",4
7-1,30.     ,有助於,yǒuzhùyú,,"to help in something, be beneficial to something",có ích cho cái gì,"เพื่อช่วยในบางสิ่งบางอย่าง, เป็นประโยชน์ต่อบางสิ่งบางอย่าง",တစ်ခုခုကို ကူညီဖို့၊ တစ်ခုခုအတွက် အကျိုးရှိပါစေ။,何かを助ける、何かに有益になる,"어떤 일에 도움이 되다, 어떤 일에 유익이 되다","ayudar en algo, ser beneficioso para algo","membantu dalam sesuatu, bermanfaat untuk sesuatu",4
7-1,31.     ,寒暑假,hánshǔ jià,,winter and summer vacations,kỳ nghỉ đông và hè,วันหยุดฤดูหนาวและฤดูร้อน,ဆောင်းရာသီနှင့်နွေရာသီအားလပ်ရက်,冬と夏休み,겨울과 여름 방학,vacaciones de invierno y verano,liburan musim dingin dan musim panas,4
7-2,1.        ,暗戀,ànliàn,V,to have a crush on someone,phải lòng ai đó,ที่จะสนใจใครบางคน,တစ်ယောက်ယောက်ကို ချစ်ဖို့ကောင်းတယ်။,誰かに片思いをする,누군가에게 반하게 되다,estar enamorado de alguien,naksir seseorang,4
7-2,2.        ,目光,mùguāng,N,"eyes, gaze","ánh mắt, cái nhìn",ดวงตาจ้องมอง,မျက်လုံးများ၊,目、視線,"눈, 시선","ojos, mirada","mata, tatapan",4
7-2,3.        ,移動,yídòng,Vi,to move,cảm động,ที่จะย้าย,ရွှေ့ရန်,移動する,움직이다,moverse,bergerak,4
7-2,4.        ,於是,yúshì,Conj,"so, whereupon","vì vậy, do đó",ดังนั้นแล้ว,ဒါဆို ဘာဖြစ်လဲ။,それで、それでは,"그래서, 그럼","entonces, con lo cual","jadi, setelah itu",4
7-2,5.        ,原來,yuánlái,Adv,the truth is ,sự thật là,ความจริงก็คือ,အမှန်တရား,真実は,진실은,la verdad es,yang benar adalah,4
7-2,6.        ,煩惱,fánnǎo,Vs,"to be troubled, vexed","bối rối, phiền muộn",ต้องเดือดร้อนวุ่นวาย,နှောင့်ရှက်ခြင်း၊,悩む、イライラする,"곤란하다, 난처하다","estar preocupado, enfadado","menjadi bermasalah, jengkel",4
7-2,7.        ,擔任,dānrèn,V,to hold the post of ,giữ chức vụ,ให้ดำรงตำแหน่งของ,ရာထူးကို ကိုင်ထားရန်,～のポストに就く,직책을 맡다,ocupar el cargo de,memegang jabatan,4
7-2,8.        ,學生會,xuéshēnghuì,N,"student union (會 -huì, organization)",hội sinh viên,"สมาพันธ์นักศึกษา (會 -huì, องค์กร)",ကျောင်းသားသမဂ္ဂ (會 -huì၊ အဖွဲ့အစည်း)၊,Student Union (會 -huì、組織),"학생회(會-huì, 조직)","sindicato de estudiantes (會 -huì, organización)","perkumpulan mahasiswa (會 -huì, organisasi)",4
7-2,9.        ,會長,huìzhǎng,N,"president of an associatin, club etc…(長 -zhǎng, head)","chủ tịch hội, câu lạc bộ, v.v.","ประธานสมาคม สโมสร ฯลฯ...(長 -zhǎng, หัวหน้า)",တွဲဖက်ဥက္ကဌ၊ ကလပ်စသည်ဖြင့်... (長 -zhǎng၊ ခေါင်း),協会、クラブなどの会長…(長章、部長),"동호회 회장, 동아리 회장 등…(長-zhōng, 수장)","presidente de una asociación, club, etc. (長 -zhǎng, director)","presiden sebuah asosiasi, klub, dll…(長 -zhǎng, kepala)",4
7-2,10.     ,校隊,xiàoduì,N,school team,đội tuyển của trường,ทีมโรงเรียน,ကျောင်းအဖွဲ့,学校チーム,학교 팀,equipo escolar,tim sekolah,4
7-2,11.     ,隊員,duìyuán,N,"team member (員 -yuán, member, person)",thành viên đội,"สมาชิกในทีม (員 -yuán, สมาชิก, บุคคล)",အဖွဲ့၀င် (員 -yuán၊ အဖွဲ့ဝင်၊ လူ),チームメンバー (メンバー、メンバー、人),"팀원(員-yuan, 구성원, 사람)","miembro del equipo (員 -yuán, miembro, persona)","anggota tim (員 -yuán, anggota, orang)",4
7-2,12.     ,高大,gāodà,Vs,"tall and big,bulky","cao lớn, đồ sộ",สูงและใหญ่เทอะทะ,အရပ်ရှည်ပြီး ကြီးတယ်၊ ထူတယ်။,背が高くて大きい、かさばる,"키가 크고, 부피가 크다","alto y grande, voluminoso","tinggi dan besar, besar",4
7-2,13.     ,帥氣,shuàiqì,Vs,"dashing, handsome","bảnh bao, đẹp trai",ห้าวหล่อ,ခပ်မိုက်မိုက်၊ ချောမောသည်။,威勢のいい、ハンサムな,"늠름하다, 잘생겼다","apuesto, guapo","gagah, tampan",4
7-2,14.     ,雙,shuāng,M,a pair of,"một đôi, một cặp",คู่ของ,တစ်စုံ,一対の,한 쌍의,un par de,sepasang,4
7-2,15.     ,開朗,kāilǎng,Vs,cheerful,vui vẻ,ร่าเริง,ရွှင်သည်။,陽気な,쾌활한,alegre,ceria,4
7-2,16.     ,微笑,wéixiào,Vi,to smile,mỉm cười,ยิ้ม,ပြုံးဖို့,微笑む,미소 짓다,sonreír,tersenyum,4
7-2,17.     ,情人節,qíngrénjié,N,"Valentine’s Day (節 -jié, holiday, day)",Ngày Valentine,วันวาเลนไทน์ (節 - เจี๋ย วันหยุด วัน),ချစ်သူများနေ့ (節 -jié၊ အားလပ်ရက်၊ နေ့),バレンタインデー（節、休日、日）,"발렌타인 데이(節 -jié, 공휴일, 일)","Día de San Valentín (節 -jié, feriado, día)","Hari Valentine (節 -jié, hari libur, hari)",4
7-2,18.     ,親手,qīnshǒu,Adv,"personally, with one’s own hands","tự tay, chính tay",ด้วยมือของตัวเอง,ကိုယ်ပိုင်လက်ဖြင့်,個人的に、自分の手で,개인적으로 자신의 손으로,"personalmente, con las propias manos","secara pribadi, dengan tangannya sendiri",4
7-2,19.     ,巧克力,qiǎokèlì,N,chocolate,sô cô la,ช็อคโกแลต,ချောကလက်,チョコレート,초콜릿,chocolate,cokelat,4
7-2,20.     ,當天,dāngtiān,N,that day,ngày hôm đó,วันนั้น,ထိုနေ့,その日,그날,ese dia,hari itu,4
7-2,21.     ,堆,duī,M,a pile of,một đống,กอง,တစ်ပုံ,山盛り,더미,un montón de,setumpuk,4
7-2,22.     ,向,xiàng,Prep,to,"đến, tới",ถึง (thueng),သို့ (thoe),に,에게,a,ke,4
7-2,23.     ,告白,gàobái,Vi,to confess,"thổ lộ, bày tỏ",ที่จะสารภาพ,ဝန်ခံရန်,告白する,고백하다,confesar,mengaku,4
7-2,24.     ,萬人迷,wànrénmí,N,"heartthrob (迷 -mí, charmer)",người khiến ta say mê,"นักเต้นหัวใจ (迷 -mí, เจ้าเสน่ห์)",Heartthrob (迷 -mí၊ ကျက်သရေရှိသော),胸の高鳴り (迷 -mí、魅力的),"heartthrob (迷 -mí, 매력있는 사람)","rompecorazones (迷 -mí, encantador)","kekasih hati (迷 -mí, pawang)",4
7-2,25.     ,交往,jiāowǎng,Vi,"to go steady, to date",hẹn hò,ที่จะดำเนินต่อไปอย่างมั่นคงจนถึงปัจจุบัน,တည်ငြိမ်အောင်၊ ယနေ့အထိ,着実に進む、今日まで,"꾸준하게 지내다, 지금까지","ir estable, hasta la fecha","tetap stabil, sampai saat ini",4
7-2,26.     ,系花,xìhuā,N,"department beauty, the most beautiful girl in a department",hoa khôi của khoa,แผนกความงาม สาวสวยที่สุดในแผนก,ဌာနတစ်ခုရဲ့အလှဆုံး၊ ဌာနတစ်ခုရဲ့အလှဆုံးမိန်းကလေး,部門の美しさ、部門で最も美しい女の子,"학과미인, 학과에서 가장 아름다운 소녀","belleza del departamento, la chica más hermosa de un departamento","departemen kecantikan, gadis tercantik di sebuah departemen",4
7-2,27.     ,追,zhuī,V,"to chase, woo","theo đuổi, tán tỉnh",เพื่อไล่ล่าวู,လိုက်ရှာနေမှာပါ။,追いかける、ウー,"쫓아가다, 우","perseguir, cortejar","mengejar, woo",4
7-2,28.     ,情書,qíngshū,N,love letter,thư tình,จดหมายรัก,မေတ္တာစာ,ラブレター,연애 편지,carta de amor,surat cinta,4
7-2,29.     ,態度,tàidù,N,attitude,thái độ,ทัศนคติ,သဘောထား,態度,태도,actitud,sikap,4
7-2,30.     ,曖昧,àimèi,Vs,ambiguous (about one’s relationship),mập mờ (về mối quan hệ),คลุมเครือ (เกี่ยวกับความสัมพันธ์ของคน ๆ หนึ่ง),ရှုပ်ထွေးသော (လူတစ်ဦး၏ဆက်ဆံရေးအကြောင်း),あいまいな（人間関係について）,모호하다 (자신의 관계에 대해),ambiguo (sobre la relación de uno),ambigu (tentang hubungan seseorang),4
7-2,31.     ,甜蜜,tiánmì,Vs,sweet,ngọt ngào,หวาน,ချိုတယ်။,甘い,달콤한,dulce,manis,4
7-2,32.     ,溫柔,wēnróu,Vs,tender,"dịu dàng, mềm mại",อ่อนโยน,နူးညံ့သည်။,入札,부드러운,licitación,lembut,4
7-2,33.     ,訊息,xùnxí,N,message,tin nhắn,ข้อความ,သတင်းစကား,メッセージ,메시지,mensaje,pesan,4
7-2,34.     ,忌妒,jìdù,Vst,to be jealous,ghen tị,ที่จะอิจฉา,မနာလိုဖြစ်မည်။,嫉妬する,질투하다,estar celoso,menjadi cemburu,4
7-2,35.     ,安全感,ānquángǎn,N,"the feeling of security（感-gǎn, sense/feeling of）",cảm giác an toàn,ความรู้สึกปลอดภัย (感-gǎn ความรู้สึก/ความรู้สึก),လုံခြုံရေးခံစားမှု (感-gǎn၊ ခံစားမှု/ခံစားမှု),安心感（感ガン、感覚/感覚）,"안정감(感-gēn, 감각/느낌)","el sentimiento de seguridad (感-gǎn, sentido/sentimiento de)","perasaan aman（感-gǎn, rasa/perasaan）",4
7-2,36.     ,吃醋,chīcù,Vp-sep,to be jealous,ghen tuông,ที่จะอิจฉา,မနာလိုဖြစ်မည်။,嫉妬する,질투하다,estar celoso,menjadi cemburu,4
7-2,37.     ,吵架,chǎojià,V-sep,"to quarrel, fight, argue","cãi nhau, tranh cãi",ทะเลาะวิวาททะเลาะกัน,ရန်ဖြစ်၊ ရန်ဖြစ်၊ ငြင်းခုံရန်,口論する、喧嘩する、口論する,"말다툼하다, 싸우다, 논쟁하다","pelear, pelear, discutir","bertengkar, berkelahi, berdebat",4
7-2,38.     ,牽,qiān,V,to hold,"ôm, giữ",ที่จะถือ,ကိုင်ရန်,保持する,보유하다,sostener,memegang,4
7-2,39.     ,吻,wěn,V,to kiss,hôn,ที่จะจูบ,နမ်းရန်,キスする,키스하다,besar,mencium,4
7-2,40.     ,劈腿,pītuǐ,Vp-sep,to two-time,"lừa dối, có hai người yêu",ถึงสองครั้ง,နှစ်ကြိမ်အထိ,2回に,2번으로,a dos veces,menjadi dua kali,4
7-2,41.     ,糟糕,zāogāo,Ptc,"oh no, how terrible, what bad luck!","ôi trời, thật khủng khiếp, thật xui xẻo!",โอ้ไม่ ช่างเลวร้ายจริงๆ ช่างโชคร้ายจริงๆ!,အိုး မဟုတ်ဘူး၊ ဘယ်လောက်ကြောက်စရာကောင်းလဲ၊ ကံဆိုးလိုက်တာ။,ああ、なんてひどい、何という不運でしょう！,"아, 안돼, 얼마나 끔찍한 일이냐, 얼마나 불운한 일이냐!","¡Ay no, qué terrible, qué mala suerte!","oh tidak, betapa buruknya, betapa sialnya!",4
7-2,42.     ,何清源,Hé Qīngyuán,,a male college student,Hà Thanh Nguyên,นักศึกษาชายคนหนึ่ง,အမျိုးသားကောလိပ်ကျောင်းသား,男子大学生,남자 대학생,un estudiante universitario masculino,seorang mahasiswa laki-laki,4
7-2,43.     ,林榮華,Lín Rónghuá,,a male college student,Lâm Vinh Hoa,นักศึกษาชายคนหนึ่ง,အမျိုးသားကောလိပ်ကျောင်းသား,男子大学生,남자 대학생,un estudiante universitario masculino,seorang mahasiswa laki-laki,4
7-2,44.    .,一見鍾情,yíjiàn zhōngqíng,,love at first sight,yêu từ cái nhìn đầu tiên,รักตั้งแต่แรกเห็น,မြင်မြင်ချင်းချစ်မိသည်,一目ぼれ,첫눈에 반하다,amor a primera vista,cinta pada pandangan pertama,4
7-2,45.    .,一舉一動,yìjǔ yídòng,,every move,"mọi cử chỉ, hành động",ทุกการเคลื่อนไหว,လှုပ်ရှားမှုတိုင်း,あらゆる動き,모든 움직임,cada movimiento,setiap gerakan,4
7-2,46.     ,前一天,qián yì tiān,,the day before ,ngày hôm trước,เมื่อวันก่อน,အရင်နေ့,前日,전날,el día anterior,sehari sebelumnya,4
7-2,47.     ,已讀不回,yǐdú bùhuí,,read without reply,đọc mà không trả lời,อ่านโดยไม่ตอบกลับ,အကြောင်းမပြန်ဘဲဖတ်ပါ။,返事せずに読む,답장 없이 읽다,leer sin respuesta,membaca tanpa membalas,4
8-1,1.        ,王麗華,Wáng Lìhuá,,a woman from Taiwan,một phụ nữ từ Taiwan,ผู้หญิงไต้หวัน (phu ying tai wan),ထိုင်ဝမ်အမျိုးသမီး (tai wan a myo tha mee),台湾出身の女性 (Taiwan shusshin no josei),대만 여자 (daeman yeoja),una mujer de Taiwán,seorang wanita dari Taiwan,4
8-1,2.        ,魯亞,Lǔ Yǎ,,a man from Turkey,một người đàn ông từ Thổ Nhĩ Kỳ,ชายคนหนึ่งจากตุรกี,တူရကီမှ အမျိုးသားတစ်ဦး,トルコから来た男性,터키에서 온 남자,un hombre de turquía,seorang pria dari Turki,4
8-1,3.        ,論文,lùnwén,N,"thesis, dissertation, scholarly article","luận văn, bài báo học thuật",วิทยานิพนธ์ วิทยานิพนธ์ บทความวิชาการ,စာတမ်း၊ ဒီပနီ၊ ပညာရပ်ဆိုင်ရာ ဆောင်းပါး,論文、学位論文、学術論文,"논문, 논문, 학술 논문","tesis, disertación, artículo académico","tesis, disertasi, artikel ilmiah",4
8-1,4.        ,反正,fǎnzhèng,Adv,in any case,dù sao đi nữa,ไม่ว่าในกรณีใด,ဘယ်လိုအခြေအနေပဲဖြစ်ဖြစ်,いかなる場合でも,어쨌든,En todo caso,dalam hal apapun,4
8-1,5.        ,不只,bùzhǐ,Adv,not only,không chỉ,ไม่เพียงแต่ (mai phiang tae) / นอกจากนี้ (nok chak ni),သာမက (tha ma ka) / ရုံသာမက (yone tha ma ka),だけでなく (dake de naku) / のみならず (nomi narazu),뿐만 아니라 (ppunman anira),no solo,tidak hanya,4
8-1,6.        ,哈,hā ,Ptc,ha,ha,ฮ่า,ဟက်,はぁ,하아,Ja,Ha,4
8-1,7.        ,代替,dàitì,V,"to substitute, to be in place of ","thay thế, thế chỗ","เข้ามาแทนที่, เข้ามาแทนที่",အစားထိုးရန်၊ အစားထိုးရန်,代わりになる、代わりになる,"대신하다, 대신하다","sustituir, estar en lugar de","menggantikan, berada di tempat",4
8-1,8.        ,獨自,dúzì,Adv,"alone, by oneself",một mình,คนเดียวด้วยตัวเอง,တစ်ယောက်တည်း၊ တစ်ယောက်တည်း,一人で、自分で,"혼자, 혼자서","solo, por uno mismo","sendirian, sendirian",4
8-1,9.        ,難免,nánmiǎn,Adv,"inevitably, hard to avoid ",khó tránh khỏi,"อย่างหลีกเลี่ยงไม่ได้, ยากที่จะหลีกเลี่ยง",မလွဲမသွေ ရှောင်ရန် ခဲယဉ်းသည်။,必然的に、避けるのが難しい,필연적으로 피하기 어려운,"inevitablemente, difícil de evitar","mau tidak mau, sulit untuk dihindari",4
8-1,10.     ,費用,fèiyòng,N,"costs, expense",chi phí,ต้นทุนค่าใช้จ่าย,ကုန်ကျစရိတ်၊ ကုန်ကျစရိတ်,費用、出費,"비용, 비용","costos, gastos","biaya, biaya",4
8-1,11.     ,觀念,guānniàn,N,"concept, notion","khái niệm, quan niệm","แนวคิด, ความคิด",အယူအဆ၊ အယူအဆ,概念、概念,"개념, 개념","concepto, noción","konsep, gagasan",4
8-1,12.     ,代,dài,N,generation,thế hệ,รุ่น,မျိုးဆက်,世代,세대,generación,generasi,4
8-1,13.     ,婚姻,hūnyīn,N,marriage,hôn nhân,การแต่งงาน,အိမ်ထောင်ရေး,結婚,결혼,casamiento,pernikahan,4
8-1,14.     ,束縛,shùfú,V,"to be fettered by, bound by, shackled by","bị trói buộc bởi, gò bó bởi","ถูกล่ามโซ่, ผูกมัดด้วย, ล่ามด้วย",ချည်နှောင်ခြင်း၊ ချည်နှောင်ခြင်း၊ ချည်နှောင်ခြင်း။,束縛される、束縛される、束縛される,"족쇄에 얽매이다, 얽매이다, 얽매이다","estar encadenado por, atado por, encadenado por","dibelenggu oleh, diikat oleh, dibelenggu oleh",4
8-1,15.     ,追求,zhuīqiú,V,to pursue,theo đuổi,เพื่อติดตาม,လိုက်ရန်,追求する,추구하다,perseguir,mengejar,4
8-1,16.     ,倒是,dàoshì,Adv,on the other hand,mặt khác,ในทางกลับกัน,သို့သော်ငြားလည်း,一方で,반면에,por otro lado,di sisi lain,4
8-1,17.     ,推行,tuīxíng,V,to promote,"thúc đẩy, quảng bá",เพื่อส่งเสริม,မြှင့်တင်ရန်,促進する,홍보하다,promover,mempromosikan,4
